"SenKey","AddDt","CRRMngKey","SSO","FSR","LIG","HAL","VIB"
"374013","2021-06-21 16:36:43","H001236001","25.7","161","616","1","0"
"374011","2021-06-21 16:36:42","H001236001","25.81","152","616","1","0"
"374009","2021-06-21 16:36:41","H001236001","25.69","151","619","1","0"
"374007","2021-06-21 16:36:41","H001236001","25.82","157","620","1","0"
"374005","2021-06-21 16:36:40","H001236001","25.7","155","624","1","0"
"374003","2021-06-21 16:36:40","H001236001","25.82","158","637","1","0"
"374001","2021-06-21 16:36:39","H001236001","25.7","158","646","0","0"
"373999","2021-06-21 16:36:38","H001236001","25.81","154","650","0","0"
"373997","2021-06-21 16:36:38","H001236001","25.7","155","643","0","0"
"373995","2021-06-21 16:36:37","H001236001","25.81","153","636","0","0"
"373993","2021-06-21 16:36:37","H001236001","25.7","153","640","1","0"
"373991","2021-06-21 16:36:36","H001236001","25.81","147","642","0","0"
"373989","2021-06-21 16:36:35","H001236001","25.81","152","645","1","0"
"373987","2021-06-21 16:36:35","H001236001","25.82","151","634","0","0"
"373985","2021-06-21 16:36:34","H001236001","25.7","151","637","1","0"
"373983","2021-06-21 16:36:34","H001236001","25.81","152","642","1","0"
"373981","2021-06-21 16:36:33","H001236001","25.7","152","638","1","0"
"373979","2021-06-21 16:36:32","H001236001","25.81","152","623","1","0"
"373977","2021-06-21 16:36:32","H001236001","25.7","152","612","1","0"
"373975","2021-06-21 16:36:31","H001236001","25.81","152","610","1","0"
"373973","2021-06-21 16:36:31","H001236001","25.7","151","614","1","0"
"373971","2021-06-21 16:36:30","H001236001","25.81","153","613","1","0"
"373969","2021-06-21 16:36:29","H001236001","25.7","153","608","1","0"
"373967","2021-06-21 16:36:29","H001236001","25.86","152","616","1","0"
"373965","2021-06-21 16:36:28","H001236001","25.7","152","633","1","0"
"373963","2021-06-21 16:36:28","H001236001","25.86","117","645","1","0"
"373961","2021-06-21 16:36:27","H001236001","25.7","158","642","1","0"
"373959","2021-06-21 16:36:26","H001236001","25.81","159","642","1","0"
"373957","2021-06-21 16:36:26","H001236001","25.7","158","645","1","0"
"373955","2021-06-21 16:36:25","H001236001","25.81","160","641","1","0"
"373953","2021-06-21 16:36:25","H001236001","25.7","163","634","1","0"
"373951","2021-06-21 16:36:24","H001236001","25.81","156","622","1","0"
"373949","2021-06-21 16:36:23","H001236001","25.7","154","624","1","0"
"373947","2021-06-21 16:36:23","H001236001","25.81","154","625","1","0"
"373945","2021-06-21 16:36:22","H001236001","25.7","155","627","1","0"
"373943","2021-06-21 16:36:22","H001236001","25.82","156","628","1","0"
"373941","2021-06-21 16:36:21","H001236001","25.7","159","632","1","0"
"373939","2021-06-21 16:36:20","H001236001","25.82","159","637","1","0"
"373937","2021-06-21 16:36:20","H001236001","25.7","159","640","0","0"
"373935","2021-06-21 16:36:19","H001236001","25.81","158","643","0","0"
"373933","2021-06-21 16:36:19","H001236001","25.7","153","643","0","0"
"373931","2021-06-21 16:36:18","H001236001","25.81","161","650","1","0"
"373929","2021-06-21 16:36:17","H001236001","25.7","164","648","1","0"
"373927","2021-06-21 16:36:17","H001236001","25.81","158","613","1","0"
"373925","2021-06-21 16:36:16","H001236001","25.82","158","607","0","0"
"373923","2021-06-21 16:36:16","H001236001","25.7","159","602","1","0"
"373921","2021-06-21 16:36:15","H001236001","25.81","159","596","1","0"
"373919","2021-06-21 16:36:14","H001236001","25.7","167","591","1","0"
"373917","2021-06-21 16:36:14","H001236001","25.82","163","589","1","0"
"373915","2021-06-21 16:36:13","H001236001","25.7","164","598","1","0"
"373913","2021-06-21 16:36:13","H001236001","25.82","162","616","1","0"
"373911","2021-06-21 16:36:12","H001236001","25.7","165","637","1","0"
"373909","2021-06-21 16:36:11","H001236001","25.82","162","647","1","0"
"373907","2021-06-21 16:36:11","H001236001","25.7","162","650","1","0"
"373905","2021-06-21 16:36:10","H001236001","25.82","163","658","1","0"
"373903","2021-06-21 16:36:10","H001236001","25.7","163","657","1","0"
"373901","2021-06-21 16:36:09","H001236001","25.81","173","659","1","0"
"373899","2021-06-21 16:36:08","H001236001","25.7","173","647","1","0"
"373897","2021-06-21 16:36:08","H001236001","25.82","151","630","1","0"
"373895","2021-06-21 16:36:07","H001236001","25.7","149","617","1","0"
"373893","2021-06-21 16:36:07","H001236001","25.82","149","613","1","0"
"373891","2021-06-21 16:36:06","H001236001","25.7","149","611","1","0"
"373889","2021-06-21 16:36:05","H001236001","25.82","149","610","1","0"
"373887","2021-06-21 16:36:05","H001236001","25.7","148","606","1","0"
"373885","2021-06-21 16:36:04","H001236001","25.82","147","616","1","0"
"373883","2021-06-21 16:36:04","H001236001","25.72","148","631","1","0"
"373881","2021-06-21 16:36:03","H001236001","25.82","148","641","1","0"
"373879","2021-06-21 16:36:03","H001236001","25.7","148","634","1","0"
"373877","2021-06-21 16:36:02","H001236001","25.82","148","636","0","0"
"373875","2021-06-21 16:36:01","H001236001","25.7","148","645","0","0"
"373873","2021-06-21 16:36:01","H001236001","25.82","148","649","1","0"
"373871","2021-06-21 16:36:00","H001236001","25.81","148","648","0","0"
"373869","2021-06-21 16:36:00","H001236001","25.72","148","644","1","0"
"373867","2021-06-21 16:35:59","H001236001","25.82","148","623","1","0"
"373865","2021-06-21 16:35:58","H001236001","25.7","148","618","1","0"
"373863","2021-06-21 16:35:58","H001236001","25.82","147","619","1","0"
"373861","2021-06-21 16:35:57","H001236001","25.7","146","616","1","0"
"373859","2021-06-21 16:35:56","H001236001","25.81","144","613","1","0"
"373857","2021-06-21 16:35:56","H001236001","25.7","147","613","1","0"
"373855","2021-06-21 16:35:55","H001236001","25.81","144","616","1","0"
"373853","2021-06-21 16:35:55","H001236001","25.7","146","623","1","0"
"373851","2021-06-21 16:35:54","H001236001","25.81","146","632","1","0"
"373849","2021-06-21 16:35:53","H001236001","25.72","145","636","1","0"
"373847","2021-06-21 16:35:53","H001236001","25.81","144","640","1","0"
"373845","2021-06-21 16:35:52","H001236001","25.7","144","645","1","0"
"373843","2021-06-21 16:35:52","H001236001","25.81","150","643","0","0"
"373841","2021-06-21 16:35:51","H001236001","25.7","149","639","1","0"
"373839","2021-06-21 16:35:50","H001236001","25.81","150","632","1","0"
"373837","2021-06-21 16:35:50","H001236001","25.7","150","626","1","0"
"373835","2021-06-21 16:35:49","H001236001","25.81","151","618","1","0"
"373833","2021-06-21 16:35:49","H001236001","25.77","149","608","1","0"
"373831","2021-06-21 16:35:48","H001236001","25.81","150","597","1","0"
"373829","2021-06-21 16:35:47","H001236001","25.7","149","597","1","0"
"373827","2021-06-21 16:35:47","H001236001","25.81","149","595","1","0"
"373825","2021-06-21 16:35:47","H001236001","25.7","149","602","1","0"
"373823","2021-06-21 16:35:46","H001236001","25.87","147","607","1","0"
"373821","2021-06-21 16:35:45","H001236001","25.7","147","612","1","0"
"373819","2021-06-21 16:35:44","H001236001","25.82","154","619","1","0"
"373817","2021-06-21 16:35:44","H001236001","25.69","156","627","1","0"
"373815","2021-06-21 16:35:44","H001236001","25.81","156","631","1","0"
"373813","2021-06-21 16:35:43","H001236001","25.7","157","629","1","0"
"373811","2021-06-21 16:35:42","H001236001","25.81","156","627","1","0"
"373809","2021-06-21 16:35:42","H001236001","25.7","157","621","1","0"
"373807","2021-06-21 16:35:41","H001236001","25.81","156","615","1","0"
"373805","2021-06-21 16:35:41","H001236001","25.82","155","603","1","0"
"373803","2021-06-21 16:35:40","H001236001","25.7","155","600","1","0"
"373801","2021-06-21 16:35:39","H001236001","25.82","156","594","1","0"
"373799","2021-06-21 16:35:38","H001236001","25.7","155","596","1","0"
"373797","2021-06-21 16:35:38","H001236001","25.82","146","601","1","0"
"373795","2021-06-21 16:35:37","H001236001","25.7","157","608","1","0"
"373793","2021-06-21 16:35:37","H001236001","25.81","158","614","1","0"
"373791","2021-06-21 16:35:36","H001236001","25.7","158","617","1","0"
"373789","2021-06-21 16:35:36","H001236001","25.81","156","620","0","0"
"373787","2021-06-21 16:35:35","H001236001","25.7","156","617","0","0"
"373785","2021-06-21 16:35:34","H001236001","25.82","157","619","0","0"
"373783","2021-06-21 16:35:34","H001236001","25.7","158","624","1","0"
"373781","2021-06-21 16:35:33","H001236001","25.82","158","634","1","0"
"373779","2021-06-21 16:35:33","H001236001","25.7","160","632","1","0"
"373777","2021-06-21 16:35:32","H001236001","25.82","162","614","1","0"
"373775","2021-06-21 16:35:31","H001236001","25.7","161","607","1","0"
"373773","2021-06-21 16:35:31","H001236001","25.81","161","612","1","0"
"373771","2021-06-21 16:35:30","H001236001","25.7","162","622","1","0"
"373769","2021-06-21 16:35:30","H001236001","25.82","162","624","1","0"
"373767","2021-06-21 16:35:29","H001236001","25.7","163","626","1","0"
"373765","2021-06-21 16:35:28","H001236001","25.81","162","628","1","0"
"373763","2021-06-21 16:35:28","H001236001","25.72","162","642","1","0"
"373761","2021-06-21 16:35:27","H001236001","25.82","162","646","1","0"
"373759","2021-06-21 16:35:27","H001236001","25.7","162","634","1","0"
"373757","2021-06-21 16:35:26","H001236001","25.82","162","593","1","0"
"373755","2021-06-21 16:35:25","H001236001","25.72","164","590","1","0"
"373753","2021-06-21 16:35:25","H001236001","25.81","166","624","1","0"
"373751","2021-06-21 16:35:24","H001236001","25.7","166","627","1","0"
"373749","2021-06-21 16:35:24","H001236001","25.81","165","612","1","0"
"373747","2021-06-21 16:35:23","H001236001","25.81","164","591","1","0"
"373745","2021-06-21 16:35:23","H001236001","25.81","162","594","1","0"
"373743","2021-06-21 16:35:22","H001236001","25.82","164","594","1","0"
"373741","2021-06-21 16:35:21","H001236001","25.7","165","608","1","0"
"373739","2021-06-21 16:35:21","H001236001","25.82","165","617","1","0"
"373737","2021-06-21 16:35:20","H001236001","25.7","167","619","0","0"
"373735","2021-06-21 16:35:19","H001236001","25.81","166","619","1","0"
"373733","2021-06-21 16:35:19","H001236001","25.7","164","624","0","0"
"373731","2021-06-21 16:35:18","H001236001","25.82","166","627","1","0"
"373729","2021-06-21 16:35:18","H001236001","25.72","166","615","1","0"
"373727","2021-06-21 16:35:17","H001236001","25.82","165","608","1","0"
"373725","2021-06-21 16:35:16","H001236001","25.7","164","602","1","0"
"373723","2021-06-21 16:35:16","H001236001","25.82","165","603","1","0"
"373721","2021-06-21 16:35:15","H001236001","25.7","165","606","1","0"
"373719","2021-06-21 16:35:15","H001236001","25.81","165","611","1","0"
"373717","2021-06-21 16:35:14","H001236001","25.7","165","641","1","0"
"373715","2021-06-21 16:35:13","H001236001","25.82","167","639","1","0"
"373713","2021-06-21 16:35:13","H001236001","25.72","167","652","1","0"
"373711","2021-06-21 16:35:12","H001236001","25.81","167","649","1","0"
"373709","2021-06-21 16:35:12","H001236001","25.7","167","640","1","0"
"373707","2021-06-21 16:35:11","H001236001","25.81","166","625","1","0"
"373705","2021-06-21 16:35:10","H001236001","25.72","166","610","1","0"
"373703","2021-06-21 16:35:10","H001236001","25.82","167","610","1","0"
"373701","2021-06-21 16:35:09","H001236001","25.7","168","601","1","0"
"373699","2021-06-21 16:35:09","H001236001","25.81","169","590","1","0"
"373697","2021-06-21 16:35:08","H001236001","25.7","172","604","1","0"
"373695","2021-06-21 16:35:07","H001236001","25.82","172","616","1","0"
"373693","2021-06-21 16:35:07","H001236001","25.7","172","625","1","0"
"373691","2021-06-21 16:35:06","H001236001","25.82","169","613","0","0"
"373689","2021-06-21 16:35:06","H001236001","25.72","170","613","0","0"
"373687","2021-06-21 16:35:05","H001236001","25.82","172","625","0","0"
"373685","2021-06-21 16:35:04","H001236001","25.72","173","625","1","0"
"373683","2021-06-21 16:35:04","H001236001","25.81","176","620","1","0"
"373681","2021-06-21 16:35:03","H001236001","25.72","176","611","1","0"
"373679","2021-06-21 16:35:03","H001236001","25.82","178","610","1","0"
"373677","2021-06-21 16:35:02","H001236001","25.7","179","633","1","0"
"373675","2021-06-21 16:35:01","H001236001","25.81","179","642","1","0"
"373673","2021-06-21 16:35:01","H001236001","25.81","180","650","1","0"
"373671","2021-06-21 16:35:00","H001236001","25.77","178","662","1","0"
"373669","2021-06-21 16:35:00","H001236001","25.87","183","667","1","0"
"373667","2021-06-21 16:34:59","H001236001","25.72","184","674","1","0"
"373665","2021-06-21 16:34:58","H001236001","25.82","182","671","1","0"
"373663","2021-06-21 16:34:58","H001236001","25.7","182","660","1","0"
"373661","2021-06-21 16:34:57","H001236001","25.81","182","633","1","0"
"373659","2021-06-21 16:34:57","H001236001","25.7","180","628","1","0"
"373657","2021-06-21 16:34:56","H001236001","25.81","165","613","1","0"
"373655","2021-06-21 16:34:55","H001236001","25.72","175","591","1","0"
"373653","2021-06-21 16:34:55","H001236001","25.81","175","596","1","0"
"373651","2021-06-21 16:34:54","H001236001","25.81","176","587","1","0"
"373649","2021-06-21 16:34:54","H001236001","25.7","176","586","1","0"
"373647","2021-06-21 16:34:53","H001236001","25.82","176","570","1","0"
"373645","2021-06-21 16:34:52","H001236001","25.7","176","576","1","0"
"373643","2021-06-21 16:34:52","H001236001","25.82","176","590","1","0"
"373641","2021-06-21 16:34:51","H001236001","25.72","177","597","1","0"
"373639","2021-06-21 16:34:51","H001236001","25.82","177","597","1","0"
"373637","2021-06-21 16:34:50","H001236001","25.72","176","602","1","0"
"373635","2021-06-21 16:34:49","H001236001","25.82","176","608","1","0"
"373633","2021-06-21 16:34:49","H001236001","25.72","176","608","1","0"
"373631","2021-06-21 16:34:48","H001236001","25.81","173","614","1","0"
"373629","2021-06-21 16:34:48","H001236001","25.7","179","609","0","0"
"373627","2021-06-21 16:34:47","H001236001","25.81","179","586","0","0"
"373625","2021-06-21 16:34:46","H001236001","25.7","177","584","1","0"
"373623","2021-06-21 16:34:46","H001236001","25.81","175","576","1","0"
"373621","2021-06-21 16:34:45","H001236001","25.7","174","574","1","0"
"373619","2021-06-21 16:34:45","H001236001","25.82","175","571","1","0"
"373617","2021-06-21 16:34:44","H001236001","25.7","168","585","1","0"
"373615","2021-06-21 16:34:43","H001236001","25.7","174","610","1","0"
"373613","2021-06-21 16:34:43","H001236001","25.82","171","614","1","0"
"373611","2021-06-21 16:34:42","H001236001","25.72","173","618","1","0"
"373609","2021-06-21 16:34:42","H001236001","25.81","171","613","1","0"
"373607","2021-06-21 16:34:41","H001236001","25.72","176","598","1","0"
"373605","2021-06-21 16:34:40","H001236001","25.82","175","608","1","0"
"373603","2021-06-21 16:34:40","H001236001","25.72","175","619","1","0"
"373601","2021-06-21 16:34:39","H001236001","25.82","175","629","1","0"
"373599","2021-06-21 16:34:39","H001236001","25.7","171","631","1","0"
"373597","2021-06-21 16:34:38","H001236001","25.81","177","637","1","0"
"373595","2021-06-21 16:34:37","H001236001","25.72","175","632","1","0"
"373593","2021-06-21 16:34:37","H001236001","25.82","166","615","1","0"
"373591","2021-06-21 16:34:36","H001236001","25.7","158","631","1","0"
"373589","2021-06-21 16:34:36","H001236001","25.81","130","613","1","0"
"373587","2021-06-21 16:34:35","H001236001","25.7","128","615","1","0"
"373585","2021-06-21 16:34:34","H001236001","25.7","122","619","1","22164"
"373583","2021-06-21 16:34:34","H001236001","25.81","124","637","1","0"
